date, L Income, L 2020, L 2030, L 2040, L 2050, G Fund, F Fund, C Fund, S Fund, I Fund, 
2017-06-01, 18.954100, 25.675700, 28.719600, 30.980400, 17.793200, 15.336400, 17.881800, 33.806800, 43.741800, 28.196200,
2017-05-31, 18.926100, 25.600500, 28.585700, 30.809200, 17.680200, 15.335400, 17.896700, 33.548700, 43.030500, 28.121200,
2017-05-30, 18.920100, 25.587500, 28.564600, 30.783000, 17.663400, 15.334500, 17.878300, 33.558800, 43.000900, 28.017600,
2017-05-26, 18.920500, 25.597600, 28.589100, 30.816700, 17.687300, 15.330700, 17.843500, 33.594200, 43.248900, 28.038500,
2017-05-25, 18.922900, 25.605600, 28.604300, 30.836600, 17.700600, 15.329700, 17.841300, 33.579500, 43.268500, 28.138600,
2017-05-24, 18.907700, 25.567800, 28.540000, 30.756500, 17.649200, 15.328800, 17.827100, 33.426300, 43.207800, 28.065000,
2017-05-23, 18.901700, 25.554700, 28.519000, 30.730500, 17.632700, 15.327900, 17.808800, 33.342400, 43.097300, 28.132800,
2017-05-22, 18.898300, 25.544700, 28.500800, 30.707300, 17.617200, 15.326900, 17.837000, 33.280400, 43.028000, 28.143700,
2017-05-19, 18.874300, 25.484900, 28.398300, 30.578400, 17.533400, 15.324100, 17.837800, 33.109000, 42.739400, 27.974800,
2017-05-18, 18.847100, 25.413600, 28.273600, 30.421000, 17.430900, 15.323100, 17.844500, 32.885500, 42.434900, 27.766000,
2017-05-17, 18.838900, 25.391200, 28.233800, 30.370500, 17.397600, 15.322200, 17.866800, 32.764500, 42.277900, 27.785200,
2017-05-16, 18.892100, 25.542900, 28.508300, 30.720900, 17.628800, 15.321200, 17.768000, 33.360800, 43.243700, 28.049300,
2017-05-15, 18.881900, 25.518300, 28.466700, 30.668700, 17.595300, 15.320300, 17.754400, 33.377100, 43.269400, 27.808700,
2017-05-12, 18.860200, 25.464900, 28.375500, 30.553900, 17.520500, 15.317400, 17.752500, 33.214600, 42.951300, 27.694400,
2017-05-11, 18.854400, 25.456200, 28.365200, 30.542800, 17.515100, 15.316500, 17.687600, 33.262900, 43.127800, 27.546300,
2017-05-10, 18.861600, 25.477800, 28.405200, 30.594700, 17.549800, 15.315600, 17.679000, 33.324300, 43.372900, 27.588100,
2017-05-09, 18.853500, 25.457500, 28.369900, 30.549700, 17.520100, 15.314600, 17.678500, 33.274100, 43.166600, 27.551600,
2017-05-08, 18.859800, 25.473900, 28.398400, 30.585500, 17.543100, 15.313700, 17.700500, 33.306700, 43.174000, 27.640300,
2017-05-05, 18.866900, 25.496400, 28.440700, 30.640600, 17.579600, 15.310800, 17.715600, 33.302500, 43.379500, 27.798200,
2017-05-04, 18.836800, 25.417900, 28.303500, 30.466800, 17.466200, 15.309900, 17.707600, 33.166200, 43.023000, 27.418600,
2017-05-03, 18.832100, 25.403900, 28.278200, 30.435000, 17.445200, 15.309000, 17.746300, 33.144900, 43.127600, 27.268800,
2017-05-02, 18.838600, 25.422700, 28.312700, 30.479900, 17.475100, 15.308000, 17.751100, 33.180400, 43.401400, 27.304900,
2017-05-01, 18.829700, 25.403300, 28.282200, 30.443200, 17.452700, 15.307100, 17.718100, 33.141400, 43.554100, 27.176600,
2017-04-28, 18.822000, 25.381200, 28.241900, 30.391300, 17.418000, 15.306100, 17.753000, 33.083800, 43.363700, 27.101800,
